-,Num tracks,15825
-,Num bass tracks,2492
-,Num no bass tracks,13333
-,Diferent all tags,3971
-,Diferent bass tags,451
-,Files with 0 bass tracks,118
-,Files with 1 bass tracks,2104
-,Files with more than 1 bass tracks,182
-,Total files,2404



1,moonlight 
1,3rd movement - allegro
1,marco_
2,                                                 1995mjstarke
1,a. davydov
1,easier said then done
2, 
2,low strings
1,solo cello
1,octvbass
2,violonchelos
1,sequenced by aitor ceballos
1,sequenced: dean lampe 1/96
2,elec bass
1,lower bass
612,bass ( bb ) 
1,no. 03 bass
3,track 4
1,       cello        
1,--
1,t2
1,basse  2 
2,bajo    
2,[a-03] 
1,  by michael johnson
1,continuo-2
1,continuo-4
1,--- lookin up ----
1,acbasse3
3,grasshopper
1, electric  bass
1,basse  finger             
1,gpollen@polleng.freeserve.co.uk
1,warm pad
1,bass clef         
15,basse   2
1,contra basses
1,piano-1
2,yahoo.es
1,colline
1,bass clef           
1,fretless.bass.      
6,3b
1,bass strings
1,fretlsbs
1,seq by n.nakamura, 2001             
1,contratenor
1,mikrotrack
4,left hand
1,basslineharmony
1,bass f.2
1,we like to party
3,veu 3
1,veu 2
1,strings             
1,a world wide sequencing-team production
2,contrebasse
1,bottom bass
1,cornetto iv.
1,basse frappe
1,jorge.ba@teleline.es
2,b. continuo e violone
1,this i promise
1,ac-b
2,bass acoustic
1,clavecin
1,eyes of mind
1,str. bass
1,6
4,electric bass
2,acbass
1,soft karaoke
3,fingered
2,track 3
10,bass                                
1,contrabas
6,basse   
3,cellos
1,b bass              
2,ms
1,piano - bass
41,basse  2
1,--- by freddie hubbart
1,synthbass2
1,bass solo
2,strings (bb)
2,basse fretless
2,p2-acoustic bass
1,bones
1,ch  5   
1,black ice
1,contrabajos
1,fretlees
1,basso (sesto) bbok
4,basse ac2
1,horn
1,pedal 16
1,steve rodby
1,---- footprints ------
1,contrabass (1 player)
1,bras/str
1,bajos
1,basse.ac 2
1,devian zikri
1,  bass
1,string bass         
1,      -------- tutu ------
7,bassus
1,no name
1,violon
1,lh
4,fingbass
1,----- chicken ------
1,fretles1
2,basse accoustique
1,11\3\2002
1,ctrbass2
2,bassus continuus
1,piano2
1,basso per l'organo
4,jazz bass
4,(guillaume de machaut)              
2,trombon
1,bass trombone
1,basse   acoustic            
3,finger bass
5,bass guitar
1,violoncello
11,fretless
1,violoncelli
33,2b
1,makebeliev        2 
1,violoncelle
1,acoust bass
1,pd.orgue
1,bass 2/contra
1,bajo finger
4,basse 2
1,bass slap
4,bass finger
2,** ok **
1,seguenced by devian zikri
1,loir et 
2,[a-03] seq by n.nakamura,2001.
1,b.fisher
1,(basso continuo)
1,harp
2,bass 
1,tuba1               
3,gtr bass
5,bass2
2,bass1
1,johnson (bass)
405,bass
1,basseac  2
1,synbasse2
1,* electric bass (devian)
1,1996mjstarke
1,unnamed-003
1,ctrebasse6
1,unnamed-005
83,basse
1,mute guitar
2,midi
1,muted guitar
5,bassi
2,m #2
1,bass
1,steel-str.gt. thumb 
2,2b bbok
1,www.devianjazz.com
1,accoustic bass
2,acoubass
1,chiqui  mariscal bajo
1,slapbas2
1,cont2 - a. bender
4,acoustic bs.
1,1t
1,dougmckenzie
2,pista 3
2,pista 6
3,pista 4
1,pista 5
1,bass 2 ( col 1 )
25,1b
2,contrabbasso
1,bass fretless
1,acc.
2,synth bass 1
1,ydfm
